id,district_id,name_en,postcode,latitude,longitude
401,Galle,Ginimellagaha,80220,6.1297064,80.169371
402,Galle,Gintota,80280,6.0600121,80.1800221
403,Galle,Godahena,80302,6.2345862,80.0745627
404,Galle,Gonamulla Junction,80054,6.082083,80.290911
405,Galle,Gonapinuwala,80230,6.1434518,80.1344842
406,Galle,Habaraduwa,80630,5.998359,80.3078202
407,Galle,Haburugala,80506,6.4037013,80.0339312
408,Galle,Hikkaduwa,80240,6.1394676,80.1062861
409,Galle,Hiniduma,80080,6.3094482,80.324096
410,Galle,Hiyare,80056,6.0720114,80.3425801
411,Galle,Kahaduwa,80460,6.2234515,80.2126109
412,Galle,Kahawa,80312,6.1881852,80.0772392
413,Galle,Karagoda,80151,6.0352435,80.210495
414,Galle,Karandeniya,80360,6.2683217,80.0898085
415,Galle,Kosgoda,80570,6.3354424,80.0339312
416,Galle,Kottawagama,80062,6.1078139,80.3035884
417,Galle,Kottegoda,81180,6.9615244,80.9361023
418,Galle,Kuleegoda,80328,6.2138206,80.0703308
419,Galle,Magedara,80152,6.0999399,80.4034393
420,Galle,Mahawela Sinhapura,51076,6.6819241,80.4058741
421,Galle,Mapalagama,80112,6.2235607,80.2892727
422,Galle,Mapalagama Central,80116,6.2235607,80.2892727
423,Galle,Mattaka,80424,6.3029501,80.2572225
424,Galle,Meda-Keembiya,80092,6.114005,80.2404959
425,Galle,Meetiyagoda,80330,6.1898343,80.0953942
426,Galle,Nagoda,80110,6.197978,80.2746547
427,Galle,Nakiyadeniya,80064,6.1433285,80.3421984
428,Galle,Nawandagala,80416,6.3112355,80.1400671
429,Galle,Neluwa,80082,6.3731028,80.3575128
430,Galle,Nindana,80318,6.20709,80.1079608
431,Galle,Pahala Millawa,81472,6.2937958,80.4715866
432,Galle,Panangala,80075,6.2629096,80.3237043
433,Galle,Pannimulla Panagoda,80086,6.3537914,80.4086995
434,Galle,Parana Thanayamgoda,80114,6.2305499,80.3129541
435,Galle,Patana,22012,6.0535185,80.2209773
436,Galle,Pitigala,80420,6.3419553,80.2377078
437,Galle,Poddala,80170,6.1084688,80.223766
438,Galle,Polgampola,12136,6.4651893,80.1961205
439,Galle,Porawagama,80408,6.2872078,80.2249426
440,Galle,Rantotuwila,80354,6.0535185,80.2209773
441,Galle,Talagampola,80058,6.0870628,80.3035418
442,Galle,Talgaspe,80406,6.0542348,80.2244631
443,Galle,Talpe,80615,6.0009954,80.2781262
444,Galle,Tawalama,80148,6.3347269,80.3421984
445,Galle,Tiranagama,80244,6.1285798,80.1112155
446,Galle,Udalamatta,80108,6.1835935,80.2982507
447,Galle,Udugama,80070,6.2179047,80.3380213
448,Galle,Uluvitike,80168,6.0833989,80.2112164
449,Galle,Unawatuna,80600,6.0174469,80.2488596
450,Galle,Unawitiya,80214,6.0535185,80.2209773
451,Galle,Uragaha,80352,6.349044,80.0978637
452,Galle,Uragasmanhandiya,80350,6.349044,80.0978637
453,Galle,Wakwella,80042,6.0921684,80.1902963
454,Galle,Walahanduwa,80046,6.0515591,80.2572225
455,Galle,Wanchawela,80120,6.0357108,80.2685967
456,Galle,Wanduramba,80100,6.1324713,80.2488596
457,Galle,Warukandeniya,80084,6.3661038,80.4048306
458,Galle,Watugedara,80340,6.2612121,80.0604774
459,Galle,Weihena,80216,6.3077798,80.2349196
460,Galle,Welikanda,51070,7.9459654,81.2491298
461,Galle,Wilanagama,20142,6.0041796,80.4138113
462,Galle,Yakkalamulla,80150,6.1013495,80.3591002
463,Galle,Yatalamatta,80107,6.1737333,80.2864862
464,Gampaha,Akaragama,11536,7.2734803,79.9570411
465,Gampaha,Ambagaspitiya,11052,7.0844509,80.0653366
466,Gampaha,Ambepussa,11212,7.2561036,80.1693285
467,Gampaha,Andiambalama,11558,7.1788127,79.9068534
468,Gampaha,Attanagalla,11120,7.1137427,80.1355005
469,Gampaha,Badalgama,11538,7.2886523,79.9808143
470,Gampaha,Banduragoda,11244,7.2277935,80.0576834
471,Gampaha,Batuwatta,11011,7.062254,79.9412368
